E,U,Frekans,Kaynak_IDler
Nohut Çorbası,https://tr.wikipedia.org/wiki/Nohud-%C3%A2b,2,Çorba#17;Çorba#19
Tarhana şorbası,https://tr.wikipedia.org/wiki/Tarhana_%C3%A7orbas%C4%B1,2,Çorba#19;Çorba#24
Balık Çorbası,https://tr.wikipedia.org/wiki/Bal%C4%B1k_%C3%A7orbas%C4%B1,2,Çorba#17;Çorba#19
3. yüzyıla,https://tr.wikipedia.org/wiki/3._y%C3%BCzy%C4%B1l,1,Çorba#5
Sanskritçe,https://tr.wikipedia.org/wiki/Sanskrit%C3%A7e,1,Çorba#2
sulu yemek,https://tr.wikipedia.org/wiki/Sulu_yemek,1,Çorba#1
suya,https://tr.wikipedia.org/wiki/Su,1,Çorba#5
Hazır çorbanın,https://tr.wikipedia.org/wiki/Haz%C4%B1r_%C3%A7orba,1,Çorba#9
tuz,https://tr.wikipedia.org/wiki/Tuz,1,Çorba#5
beslenme,https://tr.wikipedia.org/wiki/Beslenme,1,Çorba#6
ekmek,https://tr.wikipedia.org/wiki/Ekmek,1,Çorba#7
Et,https://tr.wikipedia.org/wiki/Et,1,Çorba#9
18.,https://tr.wikipedia.org/wiki/18._y%C3%BCzy%C4%B1l,1,Çorba#9
17.,https://tr.wikipedia.org/wiki/17._y%C3%BCzy%C4%B1l,1,Çorba#9
Melceü’t-Tabbâhîn,https://tr.wikipedia.org/wiki/Melce%C3%BC%E2%80%99t-Tabb%C3%A2h%C3%AEn,1,Çorba#16
Buğdaylı balık çorbası,https://tr.wikipedia.org/wiki/Bu%C4%9Fdayl%C4%B1_bal%C4%B1k_%C3%A7orbas%C4%B1,1,Çorba#17
Tarhana Çorbası,https://tr.wikipedia.org/wiki/Tarhana_%C3%87orbas%C4%B1,1,Çorba#17
Ali Eşref Dede'nin Yemek Risalesi,https://tr.wikipedia.org/wiki/Ali_E%C5%9Fref_Dede%27nin_Yemek_Risalesi,1,Çorba#18
Yeni Usûl Yemek Kitabı,https://tr.wikipedia.org/wiki/Yeni_Us%C3%BBl_Yemek_Kitab%C4%B1,1,Çorba#20
Ekşili çorba,https://tr.wikipedia.org/wiki/Ek%C5%9Fili_%C3%A7orba,1,Çorba#21
Mükemmel ve Mufassal Aş Ustası,https://tr.wikipedia.org/wiki/M%C3%BCkemmel_ve_Mufassal_A%C5%9F_Ustas%C4%B1,1,Çorba#22
tavuk çorbası,https://tr.wikipedia.org/wiki/Tavuk_%C3%A7orbas%C4%B1,1,Çorba#24
sebze çorbası,https://tr.wikipedia.org/wiki/Sebze_%C3%A7orbas%C4%B1,1,Çorba#24
işkembe çorbası,https://tr.wikipedia.org/wiki/%C4%B0%C5%9Fkembe_%C3%A7orbas%C4%B1,1,Çorba#24
kulak çorbası,https://tr.wikipedia.org/wiki/Kulak_%C3%A7orbas%C4%B1,1,Çorba#24
mercimek çorbası,https://tr.wikipedia.org/wiki/Mercimek_%C3%A7orbas%C4%B1,1,Çorba#24
köfte,https://tr.wikipedia.org/wiki/K%C3%B6fte,1,Çorba#27
Anadolu,https://tr.wikipedia.org/wiki/Anadolu,1,Çorba#27
bulgur,https://tr.wikipedia.org/wiki/Bulgur,1,Çorba#28
pirinçle,https://tr.wikipedia.org/wiki/Pirin%C3%A7,1,Çorba#28
yoğurt,https://tr.wikipedia.org/wiki/Yo%C4%9Furt,1,Çorba#28
baklagiller,https://tr.wikipedia.org/wiki/Baklagiller,1,Çorba#28
baharatlar,https://tr.wikipedia.org/wiki/Baharat,1,Çorba#28
şehriye,https://tr.wikipedia.org/wiki/%C5%9Eehriye,1,Çorba#28
hamur,https://tr.wikipedia.org/wiki/Hamur,1,Çorba#28
